Value,Group
59.23792,3-Q
45.73567,3-Q
64.32729,3-Q
37.2647,4-R
30.25445,4-R
43.99135,4-R
37.89697,1-sh
30.69494,1-sh
30.76336,1-sh
49.30235,2-WT
49.87246,2-WT
55.02205,2-WT
