Value,Group
11.35055,3-Q
10.75081,3-Q
12.47975,3-Q
9.844099,4-R
8.969794,4-R
9.325353,4-R
9.663347,1-sh
9.239626,1-sh
8.259369,1-sh
8.212792,2-WT
8.396335,2-WT
8.371929,2-WT
