Value,Group
0.418634697,3-Q
0.444844941,3-Q
0.336609753,3-Q
0.403276774,4-R
0.46465945,4-R
0.410527673,4-R
0.613383634,1-sh
0.489689028,1-sh
0.508883394,1-sh
0.43806063,2-WT
0.444300584,2-WT
0.355115743,2-WT
