Value,Group,Group2,Group3,,
57.95666667,20mM NaBu_R,R,20mM NaBu,,
44.67366667,20mM NaBu_R,R,20mM NaBu,,
34.22766667,20mM NaBu_R,R,20mM NaBu,,
69.63866667,20mM NaBu_R,R,20mM NaBu,,
45.55766667,20mM NaBu_R,R,20mM NaBu,,
4.794666667,20mM NaBu_R,R,20mM NaBu,,
73.28266667,20mM NaBu_R,R,20mM NaBu,,
46.12666667,20mM NaBu_R,R,20mM NaBu,,
24.85566667,20mM NaBu_R,R,20mM NaBu,,
21.49866667,20mM NaBu_R,R,20mM NaBu,,
61.56366667,20mM NaBu_R,R,20mM NaBu,,
94.73866667,20mM NaBu_R,R,20mM NaBu,,
6.858666667,20mM NaBu_R,R,20mM NaBu,,
32.36366667,20mM NaBu_R,R,20mM NaBu,,
17.59366667,20mM NaBu_R,R,20mM NaBu,,
87.65966667,20mM NaBu_R,R,20mM NaBu,,
84.498,20mM NaBu_R,R,20mM NaBu,,
66.534,20mM NaBu_R,R,20mM NaBu,,
67.161,20mM NaBu_R,R,20mM NaBu,,
60.089,20mM NaBu_R,R,20mM NaBu,,
79.056,20mM NaBu_R,R,20mM NaBu,,
85.645,20mM NaBu_R,R,20mM NaBu,,
96.454,20mM NaBu_R,R,20mM NaBu,,
33.72,20mM NaBu_R,R,20mM NaBu,,
53.868,20mM NaBu_R,R,20mM NaBu,,
68.303,20mM NaBu_R,R,20mM NaBu,,
