Value,Group
1.283853,3-Q
1.476206,3-Q
1.258631,3-Q
0.764884,4-R
1.028336,4-R
0.824155,4-R
0.983002,1-sh
0.865063,1-sh
1.151936,1-sh
1.288589,2-WT
1.243044,2-WT
1.440177,2-WT
