Value,Group
1.379246,3-Q
1.242159,3-Q
1.531575,3-Q
0.691306,4-R
0.880637,4-R
0.715878,4-R
0.913842,1-sh
0.930446,1-sh
1.155712,1-sh
1.246426,2-WT
1.462241,2-WT
1.495605,2-WT
